id,price($),size(m^2),rooms,bathrooms,airconditioner
1,42000,585,3,1,no
2,38500,400,2,1,no
3,49500,306,3,1,no
4,60500,665,3,1,no
5,61000,636,2,1,no
6,66000,416,3,1,yes
7,66000,388,3,2,no
8,69000,416,3,1,no
9,83800,480,3,1,no
10,88500,550,3,2,yes
11,90000,720,3,2,yes
12,30500,300,2,1,no
13,27000,170,3,1,no
14,36000,288,3,1,no
15,37000,360,2,1,no
16,37900,318,5,2,yes
17,40500,330,3,1,no
18,40750,520,4,1,no
19,45000,345,1,1,no
20,45000,398,6,2,no
21,48500,478,5,1,yes
22,65900,451,4,2,no
23,37900,400,3,1,yes
24,38000,393,4,1,no
25,42000,496,2,1,no
26,42300,300,2,1,no
27,43500,380,2,1,no
28,44000,496,2,1,yes
29,44500,300,3,1,yes
30,44900,450,3,1,yes
31,45000,350,2,1,no
32,48000,350,4,1,yes
33,49000,400,2,1,no
34,51500,450,2,1,no
35,61000,636,2,1,no
36,61000,450,2,1,yes
37,61700,403,2,1,no
38,67000,517,3,1,yes
39,82000,540,4,2,yes
40,54500,315,2,2,no
41,66500,374,5,1,no
42,70000,452,3,1,yes
43,82000,464,4,1,no
44,92000,858,5,3,no
45,38000,200,2,1,no
46,44000,216,3,1,no
47,41000,304,2,1,no
48,43000,309,3,1,no
49,48000,496,4,1,no
50,54800,335,3,1,no
